title,company,location,salary,posted,url,specialization,source,tags
EDI - Interoperability Analyst,Seattle Children's,Remote USA,,2026-03-13,https://lensa.com/job-v1/seattle-childrens/remote/edi-analyst/4ef90da0361a910ba414e7d6ca8e34d7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Lensa,
EDI Analyst II,MTM,Remote,,2026-03-09,https://builtin.com/job/edi-analyst-ii/7572824?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Built In,
Encounters Business Analyst IV SQL EDI,Centene Corporation,Remote USA,,2026-03-02,https://jobs.centene.com/us/en/jobs/1627752/encounters-business-analyst-iv-sql-edi/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Centene Careers - Centene Corporation,
Sr EDI Analyst,EDI Staffing,Remote USA,,2026-03-17,https://lensa.com/job-v1/edi-staffing/remote/senior-edi-analyst/8703dd666f81c33096e1c069028c8867?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Logistics & Retail,Lensa,
Home Healthcare Revenue Cycle EDI Systems Analyst - Full-time,CenterWell,Remote USA,,2026-03-18,https://www.snagajob.com/jobs/1229996067?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Healthcare EDI,Snagajob,
EDI Developers,Community Health Center Network Inc,Remote,,2026-02-19,https://tallo.com/talent/job/technology/software-developer-or-engineer/remote/edi-developer-45755639,EDI Developer,Tallo,
Boomi developer+ EDI,Yochana,Remote,,2026-03-04,https://lensa.com/job-v1/yochana/remote/edi-developer/4f38dc51618f8ae3cb046e8bc37be141,EDI Developer,Lensa,
Remote C# & SQL Healthcare EDI Developer,Quantix,Remote,"$60,000 - $80,000/yr",2026-02-28,https://www.learn4good.com/jobs/online_remote/software_development/4904425412/e/,Healthcare EDI,Learn4Good,
EDI Developer using relevant technologies,KPG99 INC,Remote,"$74,000 - $114,000/yr",2026-03-16,https://www.adzuna.com/details/5668296717,EDI Developer,Adzuna,
Senior EDI Software Engineer {APIs with C# .NET},MDA Edge,Remote,"$112,000 - $140,000/yr",2026-02-19,https://jobgether.com/offer/6996bc29da7696de2f5723f8-senior-edi-software-engineer-apis-with-c-.net,EDI Developer,Jobgether,
